Transaction ID,Transaction Date,Customer ID,Payment Method,Transaction Amount,Transaction Status,Merchant ID,Region,Currency,Transaction Hour,Transaction Day,Transaction Month,Transaction Year
TX1000,2024-10-30 06:02:00,CUST189,PayPal,451,Successful,M1049,Asia,USD,6,30,10,2024
TX1001,2024-11-18 10:10:00,CUST108,Credit Card,461,Successful,M1006,Europe,JPY,10,18,11,2024
TX1002,2024-06-11 09:59:00,CUST165,PayPal,427,Pending,M1019,North America,EUR,9,11,6,2024
TX1003,2024-10-27 07:39:00,CUST140,PayPal,309,Successful,M1027,Europe,EUR,7,27,10,2024
TX1004,2024-07-29 20:30:00,CUST173,Credit Card,380,Successful,M1025,North America,USD,20,29,7,2024
TX1005,2024-05-27 20:43:00,CUST105,Debit Card,350,Successful,M1039,North America,EUR,20,27,5,2024
TX1006,2024-12-26 20:44:00,CUST140,Credit Card,447,Successful,M1025,Europe,USD,20,26,12,2024
TX1007,2024-10-19 16:21:00,CUST152,Debit Card,475,Successful,M1014,Asia,EUR,16,19,10,2024
TX1008,2024-11-05 13:05:00,CUST187,Bank Transfer,413,Successful,M1026,North America,USD,13,5,11,2024
TX1009,2024-12-02 01:54:00,CUST143,Bank Transfer,514,Failed,M1004,Europe,EUR,1,2,12,2024
TX1010,2024-06-28 04:04:00,CUST159,Debit Card,338,Successful,M1001,North America,USD,4,28,6,2024
TX1011,2024-10-24 14:11:00,CUST186,Debit Card,365,Pending,M1034,Europe,JPY,14,24,10,2024
TX1012,2024-06-10 08:28:00,CUST184,Debit Card,423,Successful,M1029,Europe,JPY,8,10,6,2024
TX1013,2024-04-24 12:19:00,CUST141,PayPal,467,Pending,M1042,North America,JPY,12,24,4,2024
TX1014,2024-03-09 21:45:00,CUST153,Debit Card,308,Successful,M1004,North America,USD,21,9,3,2024
TX1015,2024-12-27 02:01:00,CUST102,Bank Transfer,403,Successful,M1003,Asia,EUR,2,27,12,2024
TX1016,2024-08-28 09:30:00,CUST129,PayPal,469,Successful,M1012,North America,EUR,9,28,8,2024
TX1017,2024-08-30 08:56:00,CUST145,Credit Card,545,Successful,M1050,Europe,JPY,8,30,8,2024
